"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Ako lang ba nag iimagine ng different opinions and way of talking ng mga AB professors abt sa administration ni Pres Duterte?",FALSE,0,NA,2016-10-08 15:23:35,FALSE,NA,"784776259532304384",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","preciousdvera",0,FALSE,FALSE,NA,NA
"2","BATO DELA ROSA IBINIDA ANG MAKULAY NA 100 DAYS NI  PRES.DUTERTE https://t.co/5JCzPR6KLf via @YouTube",FALSE,0,NA,2016-10-08 15:22:27,FALSE,NA,"784775974290198528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TaytayDigong",0,FALSE,FALSE,NA,NA
"3","I liked a @YouTube video from @taytaydigong https://t.co/x6HgnefbTT BATO DELA ROSA IBINIDA ANG MAKULAY NA 100 DAYS NI PRES.DUTERTE",FALSE,0,NA,2016-10-08 15:22:15,FALSE,NA,"784775922775752704",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","greenerpastur16",0,FALSE,FALSE,NA,NA
"4","Phil. Pres. Duterte's supporters didn't lose faith despite his very foul-mouth. Know y? He's working &amp; doing what he promised! #TrumpTapes",FALSE,0,NA,2016-10-08 15:21:13,FALSE,NA,"784775665522348032",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","silverdoe31",0,FALSE,FALSE,NA,NA
"5","RT @PTVph: BALITA: Pres. Duterte, magkakaroon ng isang oras na morning show na laan para sa mga sumbong ng publiko
https://t.co/rRuFD98xPD",FALSE,0,NA,2016-10-08 15:20:13,FALSE,NA,"784775410798043136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","doravago",6,TRUE,FALSE,NA,NA
"6","BATO DELA ROSA IBINIDA ANG MAKULAY NA 100 DAYS NI  PRES.DUTERTE https://t.co/McoSRg6qZq",FALSE,0,NA,2016-10-08 15:15:57,FALSE,NA,"784774340017389568",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","TaytayDigong",0,FALSE,FALSE,NA,NA
"7","RT @ABSCBNNews: Iba't Ibang grupo nagdaraos ng protesta sa Mendiola sa ika-100 araw ng panunungkulan ni Pres. Duterte. | @AbnerMercado #100…",FALSE,0,NA,2016-10-08 15:15:44,FALSE,NA,"784774284820508672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vroncales89",15,TRUE,FALSE,NA,NA
"8","RT @PTVph: BALITA: Pres. Duterte, magkakaroon ng isang oras na morning show na laan para sa mga sumbong ng publiko
https://t.co/rRuFD98xPD",FALSE,0,NA,2016-10-08 15:12:30,FALSE,NA,"784773471465115648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NardyM",6,TRUE,FALSE,NA,NA
"9","RT @PTVph: BALITA: Pres. Duterte, magkakaroon ng isang oras na morning show na laan para sa mga sumbong ng publiko
https://t.co/rRuFD98xPD",FALSE,0,NA,2016-10-08 15:12:29,FALSE,NA,"784773467421810689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zandro_1D",6,TRUE,FALSE,NA,NA
"10","RT @PTVph: BALITA: Pres. Duterte, magkakaroon ng isang oras na morning show na laan para sa mga sumbong ng publiko
https://t.co/rRuFD98xPD",FALSE,0,NA,2016-10-08 15:11:31,FALSE,NA,"784773224424878080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akosiherald",6,TRUE,FALSE,NA,NA
"11","RT @ihateposh: How would you rate Pres. Duterte's first 100 days compared to ex-PNoy's first 100 days? #charot",FALSE,0,NA,2016-10-08 15:11:15,FALSE,NA,"784773155843780609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","geraldania",3,TRUE,FALSE,NA,NA
"12","RT @PTVph: BALITA: Pres. Duterte, magkakaroon ng isang oras na morning show na laan para sa mga sumbong ng publiko
https://t.co/rRuFD98xPD",FALSE,0,NA,2016-10-08 15:10:51,FALSE,NA,"784773054198972416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","coffeejellyace9",6,TRUE,FALSE,NA,NA
"13","BALITA: Pres. Duterte, magkakaroon ng isang oras na morning show na laan para sa mga sumbong ng publiko
https://t.co/rRuFD98xPD",FALSE,11,NA,2016-10-08 15:10:00,FALSE,NA,"784772841967411200",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PTVph",6,FALSE,FALSE,NA,NA
"14","Pres. Duterte is pursuing an independent foreign policy for the Philippines, for the first time we no longer bow... https://t.co/igip5kpHNm",FALSE,0,NA,2016-10-08 14:57:14,FALSE,NA,"784769626815082496",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","USA_TINIG",0,FALSE,FALSE,NA,NA
"15","FULL SPEECH: PRES  RODRIGO DUTERTE “MENTOR ME” PROGRAM LAUNCH OF GO NEGOSYO https://t.co/QVXBwVHzCj via @YouTube",FALSE,0,NA,2016-10-08 14:51:28,FALSE,NA,"784768178349932545",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TaytayDigong",0,FALSE,FALSE,NA,NA
"16","I liked a @YouTube video from @taytaydigong https://t.co/50IX0V02BP FULL SPEECH: PRES RODRIGO DUTERTE “MENTOR ME” PROGRAM LAUNCH",FALSE,0,NA,2016-10-08 14:51:22,FALSE,NA,"784768153372938240",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","greenerpastur16",0,FALSE,FALSE,NA,NA
"17","I liked a @YouTube video from @greenerpastur16 https://t.co/MNC672SPyg FULL SPEECH: PRES RODRIGO DUTERTE “MENTOR ME” PROGRAM",FALSE,0,NA,2016-10-08 14:49:18,FALSE,NA,"784767634017357825",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","greenerpastur16",0,FALSE,FALSE,NA,NA
"18","FULL SPEECH: PRES  RODRIGO DUTERTE “MENTOR ME” PROGRAM LAUNCH OF GO NEGOSYO https://t.co/8blrB7HpES via @YouTube",FALSE,0,NA,2016-10-08 14:49:00,FALSE,NA,"784767558087946241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TaytayDigong",0,FALSE,FALSE,NA,NA
